Feature,Importance,Std
first_10_mean,0.05589661812686767,0.005034949996459536
first_50_mean,0.05391475575584966,0.003632129659103325
length_normalized,0.050469542219777584,0.0028509848034369628
length,0.046304827082554824,0.004990305315908483
slope_late,0.03328089905849767,0.00404318011016793
first_last_diff,0.03190014748590821,0.002751244451347364
entropy_early,0.026962197657949587,0.00131629088301861
p75,0.02653632926323981,0.0013206651774888315
autocorr_lag1,0.025456035576712038,0.0010611885804904778
mu_early,0.024864334790436194,0.001330310660704477
intercept,0.023646100283373057,0.002913917744647722
mid_late_diff,0.023023190500785273,0.0008598294368823056
early_mid_diff,0.02265669264491496,0.001293151824437662
min_position,0.02222079219965388,0.001123036331957044
n_dips,0.021870893290854225,0.001033267192539176
last_10_mean,0.02181136204765977,0.0009916007585768132
mu_mid,0.02177454803768138,0.0020230011888258464
p90,0.021560074068583075,0.0021994814802612636
early_late_diff,0.021259424777514996,0.00089855744827978
entropy_std,0.020914081597270224,0.001985643197350356
last_50_mean,0.020448560968651403,0.0010108390123740579
slope,0.020358478139604265,0.0011568790005766997
mu_late,0.020214848952368986,0.0008295468315836687
mean_dip_height,0.020172818356233527,0.0015913590771968339
r2,0.01906030018157126,0.0019315584099899898
median,0.01889465283904475,0.0006219864041205084
entropy_late,0.018643810129622525,0.0016630906798609467
std,0.018523416134556825,0.001543808334406862
p10,0.017803229950402618,0.0016412495574325435
ratio_above_099,0.01731953575604292,0.0019077759339496492
ratio_below_03,0.016987872097476868,0.0011077136264396438
iqr,0.01679699141141917,0.0017290406962404015
ratio_above_09,0.016157398582525698,0.0014223754494036543
p25,0.01592626479546557,0.0019425586021718153
mean,0.01591265004133493,0.0010975366747784118
cv,0.015503794496205694,0.0015460068832170919
entropy_mean,0.014970380657468507,0.0014023286900932948
kurtosis,0.014345591985119338,0.0004983429912917053
ratio_below_08,0.013731604414953358,0.0008434610038346486
skewness,0.013535756494854164,0.0011852117842990984
ratio_below_01,0.013428805133824365,0.0004346697640060163
ratio_below_05,0.012660379202178097,0.0009510253152131398
min,0.01125946228164131,0.0008615716958589883
max_dip_height,0.010161260336435279,0.0008095253594471321
range,0.010048269478700522,0.0007705281751537303
max,0.0008110207162139628,0.00025677285289453565
